Run,Timestamp_Init,Timestamp_Final,X-Net,Y-Net,Z-Net
1,12085964,12120664,-78.97622513771057,-69.40545238554478,0.0045657458831556
2,25349,60049,-1.4298284407705069,0.054307047277688994,0.0035469725844449
3,163130,197830,-1.8862737417221067,-1.1163870096206665,0.0007789341034368001
4,298612,333312,-0.7101365327835083,0.7720002420246602,0.0034237189684063005
5,462552,497252,-1.4185412898659706,-0.5146844387054443,0.008553834632038999
6,616903,651603,-1.0430938005447388,0.7506483951001427,7.269578054549999e-05
7,749876,784576,-0.9340706467628477,-2.5097342431545258,0.0024412523489446
8,877019,911719,-0.24749159812927268,-0.2235943377017975,0.004511757986619999
9,1044344,1079044,-0.835304915904999,-0.1709824986755847,0.0030547795904567
10,1251032,1285732,-1.535957723855972,-0.5263095200061797,0.0074184200930176
11,1363233,1397933,-0.8733732104301455,-0.810104165226221,0.004253907667589291
12,1512905,1547605,-0.9779691100120547,0.09374836087226868,0.0064874233794398
13,1634553,1669253,-0.5601946711540222,-0.44482025876641273,-0.0005435016937554
14,1777824,1812524,-2.204890727996826,-0.051533453166484805,0.0040864824550226
15,2191709,2226409,-2.369425356388092,-0.6575495563447475,0.0060893157206009995
