Run,Timestamp_Init,Timestamp_Final,X-Net,Y-Net,Z-Net
1,1833016,1867716,2.5588302612304688,22.55472052097321,0.006614885176532
2,1960526,1995226,1.1583428680896761,0.8746847547590733,0.009102071424422301
3,2088810,2123510,-0.5050250291824341,3.2362550273537636,0.005654907552525399
4,2228908,2263608,-3.6350635290145874,-0.1107837175950409,0.0067595521686599006
5,2354063,2388763,-1.2700339555740356,-0.7796775028109549,0.0054177974816412
6,2528173,2562873,1.324908934533596,-0.1573335323482751,0.0069344783842098
7,2668890,2703590,0.9000590443611145,-0.0246373377740383,0.0054893819615244996
8,2919712,2954412,0.7792196273803711,-0.0833156853914261,0.010647465744113932
9,3063543,3098243,1.6031242534518242,-0.8061798065900803,0.0091258737375027
10,3187530,3222230,-0.8705215454101562,0.6279358863830566,0.0048321192152799
11,3306400,3341100,0.7589247226715089,0.5587968379259108,0.007619182055350399
12,3430324,3465024,1.7220582328736782,-0.41350750252604485,0.0008586775511502994
13,3621699,3656399,-1.0493371486663818,-0.13108600676059712,0.0060830842703581
14,3764984,3799684,1.8348185867071152,-0.4428657847456633,0.0090924005489796
15,3881490,3916190,-0.22367334365844727,-0.18421153724193562,0.0058508781949058
